Field=Designator~String~Designator~73|Field=LibRef~String~LibRef~115|Field=Description~String~Description~282|Field=Quantity~Integer~Quantity~280|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MIDI_USB.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\MIDI_USB\MIDI_USB.PrjPcb|ReportField=Title~BOM_PartType For Project [MIDI_USB.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~270|ReportField=ReportTime~12:44:54|ReportField=ReportDate~05/03/2022|ReportField=ReportDateTime~05/03/2022 12:44:54|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.00|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-3|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=A3 (Scaled)|PaperIndex=8|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MIDI_USB.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\MIDI_USB\MIDI_USB.PrjPcb
LED7|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED8|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED9|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED10|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED11|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED12|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED13|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED14|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED15|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED16|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
MCU1|PIC24EP256GU814_I_PL|PIC24EP256GU814_I_PL|1
